FID	place_name	category1	dem_RANGE	dem_MEAN	fac_MEAN	hdis_MIN	hdis_MEAN	gradient_MEAN	relief_MEAN	roughness_MEAN	vdis_MIN	vdis_MEAN
7421	´¶¼ÖÆW	ÆW	216.00 	27.17 	85.50 	0.00 	677.73 	5.36 	263.43 	0.09 	0.00 	16.97 
7693	¼Ì¾ðÆW	ÆW	114.00 	23.74 	1848.24 	0.00 	260.05 	8.86 	110.73 	0.15 	0.00 	16.62 
7949	¨FÆW¤l	ÆW	185.00 	53.32 	68.79 	0.00 	311.51 	14.00 	198.59 	0.22 	0.00 	54.72 
7951	¤ºÆW	ÆW	422.00 	339.81 	1956.01 	0.00 	448.62 	21.69 	409.42 	0.37 	0.00 	99.25 
7960	¤UÆW¥J	ÆW	106.00 	171.51 	3560.40 	0.00 	178.84 	7.87 	145.59 	0.12 	0.00 	16.81 
8075	»OÆWµó	ÆW	5.00 	0.17 	1.89 	40.00 	331.65 	1.04 	4.96 	0.01 	0.00 	0.17 
8176	ÆW©³	ÆW	297.00 	80.46 	166.80 	0.00 	380.17 	12.95 	314.83 	0.22 	0.00 	49.14 
8370	¦¶¤¦ÆW	ÆW	18.00 	45.54 	842.22 	0.00 	520.24 	1.51 	18.14 	0.02 	0.00 	4.23 
8413	ÆWÀtÀY	ÆW	18.00 	63.79 	257.18 	0.00 	223.73 	1.30 	19.66 	0.02 	0.00 	3.50 
9325	¤TÆW	ÆW	129.00 	105.50 	3735.66 	0.00 	309.73 	9.80 	130.51 	0.15 	0.00 	34.43 
9403	¤G¨FÆW	ÆW	164.00 	44.92 	31.55 	0.00 	842.04 	16.59 	180.20 	0.27 	0.00 	39.70 
9609	¤UåüÆW	ÆW	282.00 	215.53 	598.91 	0.00 	358.99 	19.29 	333.93 	0.33 	0.00 	70.20 
9618	¤UÆW	ÆW	100.00 	98.60 	1041.08 	0.00 	361.39 	10.19 	118.91 	0.16 	0.00 	26.39 
9619	¤UÆW	ÆW	23.00 	19.39 	3851.26 	0.00 	227.89 	1.84 	48.86 	0.03 	0.00 	5.04 
9620	¤UÆW	ÆW	120.00 	112.37 	4184.15 	0.00 	410.40 	7.07 	117.94 	0.11 	0.00 	26.88 
9621	¤UÆW¤l	ÆW	106.00 	173.70 	3210.64 	0.00 	213.43 	8.80 	157.09 	0.14 	0.00 	17.64 
9650	¤p«nÆW	ÆW	150.00 	96.45 	220.90 	0.00 	376.81 	14.04 	163.93 	0.22 	0.00 	45.62 
9651	¤p«nÆW	ÆW	150.00 	96.45 	220.90 	0.00 	376.81 	14.04 	163.93 	0.22 	0.00 	45.62 
9851	¤Ú¥JÆW	ÆW	66.00 	9.87 	1173.68 	0.00 	204.91 	2.52 	57.61 	0.03 	0.00 	3.61 
9954	¤ºÆW	ÆW	182.00 	402.96 	178.26 	0.00 	515.71 	8.27 	162.03 	0.13 	0.00 	35.32 
10077	¦Ì¨ÈÆWªÀ°Ï	ÆW	546.00 	244.46 	268.61 	0.00 	305.19 	18.96 	534.32 	0.32 	0.00 	89.02 
10138	¥[ÆWªÀ°Ï	ÆW	570.00 	93.06 	41.88 	0.00 	634.91 	14.10 	493.98 	0.26 	0.00 	83.06 
10194	¥~ÆW	ÆW	454.00 	295.26 	3820.84 	0.00 	386.41 	21.30 	434.76 	0.36 	0.00 	116.09 
10930	ª÷¨FÆW	ÆW	164.00 	32.99 	71.98 	0.00 	266.05 	13.32 	193.38 	0.21 	0.00 	49.32 
10963	­»¿¼ÆW	ÆW	59.00 	10.69 	851.62 	0.00 	255.64 	3.70 	66.39 	0.05 	0.00 	6.82 
10990	®R¾|ÆW	ÆW	41.00 	91.18 	66.39 	0.00 	363.68 	1.56 	55.32 	0.02 	0.00 	10.31 
11397	®üÆW·s«°	ÆW	85.00 	25.49 	76.74 	0.00 	285.49 	9.86 	99.40 	0.14 	0.00 	21.77 
12126	ÆW¤º	ÆW	12.00 	9.11 	2961.52 	0.00 	287.61 	1.10 	11.59 	0.01 	0.00 	2.12 
12127	ÆW¤º	ÆW	12.00 	9.15 	2786.33 	0.00 	288.60 	1.08 	11.56 	0.01 	0.00 	2.09 
12128	ÆW¥C	ÆW	168.00 	171.05 	553.43 	0.00 	204.27 	6.69 	158.67 	0.10 	0.00 	21.11 
12129	ÆW¸ô§À	ÆW	191.00 	152.28 	69.58 	0.00 	565.91 	17.01 	200.33 	0.26 	0.00 	78.81 
12134	ÆW¾ô	ÆW	191.00 	152.28 	69.58 	0.00 	565.91 	17.01 	200.33 	0.26 	0.00 	78.81 
12744	¥xÆW°êÄ_ªÀ°Ï	ÆW	32.00 	11.43 	305.97 	0.00 	288.57 	2.74 	43.17 	0.04 	0.00 	6.39 
12829	¤jÆW	ÆW	637.00 	319.94 	48.66 	0.00 	523.70 	30.51 	675.71 	0.55 	0.00 	213.57 
13141	¤û¨¤ÆW	ÆW	31.00 	443.01 	1889.36 	0.00 	190.77 	1.38 	57.47 	0.02 	0.00 	9.23 
13226	¤­ÆW¥J	ÆW	578.00 	686.01 	66.54 	0.00 	346.05 	23.93 	652.75 	0.39 	0.00 	130.56 
13472	¥Ø¥[·ÈÆWªÀ	ÆW	12.00 	12.37 	77.75 	0.00 	833.93 	1.04 	10.73 	0.01 	0.00 	4.14 
13579	¥|ÆW	ÆW	223.00 	184.65 	90.11 	0.00 	519.27 	7.92 	176.54 	0.12 	0.00 	31.60 
13952	«n³qÆW	ÆW	88.00 	15.82 	303.70 	0.00 	610.96 	4.96 	76.04 	0.08 	0.00 	13.33 
13973	¥[ÄõÆW	ÆW	552.00 	604.81 	2934.32 	0.00 	403.01 	22.39 	554.00 	0.40 	0.00 	130.24 
14090	¦^ÀYÆW	ÆW	681.00 	900.50 	2478.87 	0.00 	268.90 	38.78 	828.68 	0.76 	0.00 	204.34 
14226	¦N«¦«¦ÆW	ÆW	472.00 	141.31 	47.15 	0.00 	459.46 	19.01 	591.70 	0.33 	0.00 	93.63 
14256	©¥ÆW	ÆW	161.00 	62.83 	7529.46 	0.00 	629.94 	5.03 	174.76 	0.08 	0.00 	23.24 
14257	©¥ÆW·s§ø	ÆW	211.00 	74.35 	13519.33 	0.00 	485.20 	6.94 	204.03 	0.11 	0.00 	30.12 
14437	¦èÆW	ÆW	48.00 	94.33 	120.79 	0.00 	240.71 	2.09 	55.48 	0.03 	0.00 	15.22 
14619	¨F¦¼ÆW	ÆW	156.00 	27.62 	170.52 	0.00 	254.98 	11.46 	176.11 	0.18 	0.00 	23.93 
14623	¨FÆW	ÆW	351.00 	68.62 	48.85 	0.00 	496.36 	21.69 	385.70 	0.37 	0.00 	95.58 
14990	¤ºÆW	ÆW	298.00 	702.68 	34.06 	0.00 	889.95 	15.88 	322.69 	0.27 	0.00 	69.24 
14991	¤ºÆW	ÆW	178.00 	247.40 	111.09 	0.00 	269.56 	15.30 	192.93 	0.24 	0.00 	36.63 
14992	¤ºÆW¥J	ÆW	107.00 	157.75 	86.74 	0.00 	291.23 	10.07 	126.18 	0.15 	0.00 	24.03 
14993	¤ºÆW¥J	ÆW	282.00 	276.88 	4778.95 	0.00 	239.65 	10.85 	294.72 	0.18 	0.00 	43.11 
15249	Ë|¿¼ÆW	ÆW	121.00 	125.13 	3461.11 	0.00 	538.93 	9.12 	117.22 	0.13 	0.00 	42.83 
15293	¤¤ÆW	ÆW	127.00 	105.76 	4069.41 	0.00 	422.52 	6.92 	110.63 	0.10 	0.00 	26.40 
15323	¤û¨¤ÆW	ÆW	55.00 	75.74 	170.64 	0.00 	286.16 	2.53 	50.45 	0.03 	0.00 	13.21 
15324	¤û¨¤ÆW¥J	ÆW	306.00 	185.06 	44.95 	0.00 	588.32 	16.60 	268.09 	0.25 	0.00 	90.65 
15385	¦N¥j¨FÆW	ÆW	21.00 	18.91 	77.73 	0.00 	500.27 	1.05 	20.63 	0.01 	0.00 	7.71 
15424	¤WÆW	ÆW	94.00 	104.95 	1063.05 	0.00 	279.99 	6.81 	109.08 	0.10 	0.00 	17.87 
15425	¤WÆW	ÆW	73.00 	32.06 	158.92 	0.00 	267.26 	4.94 	77.87 	0.08 	0.00 	12.29 
15426	¤WÆW	ÆW	115.00 	118.51 	4665.82 	0.00 	354.62 	7.81 	110.61 	0.12 	0.00 	28.43 
15632	¦w©wÆW	ÆW	874.00 	1575.95 	254.93 	0.00 	497.12 	35.16 	796.38 	0.63 	0.00 	211.67 
15834	¦è¥_ÆW	ÆW	6.00 	19.96 	30.03 	0.00 	805.27 	0.73 	7.56 	0.01 	0.00 	3.94 
16342	ÆW¤l¤º	ÆW	15.00 	9.25 	6164.64 	0.00 	245.14 	2.08 	13.95 	0.03 	0.00 	1.80 
16343	ÆW¤l¤º	ÆW	14.00 	9.33 	6027.61 	0.00 	202.41 	1.75 	13.66 	0.02 	0.00 	2.84 
16344	ÆW¤lÀY	ÆW	22.00 	12.00 	673.62 	0.00 	335.41 	1.11 	22.83 	0.01 	0.00 	2.56 
16345	ÆW¥J	ÆW	88.00 	175.92 	140.14 	0.00 	261.17 	3.21 	107.60 	0.05 	0.00 	14.05 
16346	ÆW¥J¤º	ÆW	10.00 	9.62 	148.37 	0.00 	339.36 	0.91 	12.61 	0.01 	0.00 	2.01 
16347	ÆW¦è	ÆW	7.00 	8.17 	71.14 	0.00 	660.74 	0.56 	6.54 	0.01 	0.00 	1.79 
16348	ÆW¨¤	ÆW	807.00 	1293.13 	20.48 	0.00 	855.23 	33.28 	795.60 	0.58 	0.00 	311.01 
16481	ÆW©³	ÆW	47.00 	95.55 	105.69 	0.00 	252.46 	2.00 	56.83 	0.03 	0.00 	15.78 
16483	ÆW¶®	ÆW	76.00 	29.52 	186.57 	0.00 	351.23 	3.07 	64.38 	0.05 	0.00 	10.91 
16506	ÆW¤U	ÆW	48.00 	94.33 	120.79 	0.00 	240.71 	2.09 	55.48 	0.03 	0.00 	15.22 
16507	ÆW¤l¤f	ÆW	76.00 	30.65 	111.55 	0.00 	410.13 	3.63 	67.21 	0.05 	0.00 	12.77 
16508	ÆW¤l¤º	ÆW	10.00 	5.59 	489.30 	0.00 	299.33 	1.41 	9.92 	0.02 	0.00 	2.27 
16509	ÆW©³	ÆW	313.00 	83.05 	179.60 	0.00 	382.13 	13.37 	325.13 	0.23 	0.00 	50.09 
16513	ÆW¾ôªÀ°Ï	ÆW	148.00 	88.69 	740.79 	0.00 	537.30 	8.11 	129.67 	0.12 	0.00 	23.06 
16514	ÆW¾ôÀY	ÆW	120.00 	71.03 	1411.75 	0.00 	321.66 	5.76 	116.65 	0.09 	0.00 	16.01 
16515	ÆWÀY	ÆW	190.00 	41.01 	17.93 	215.41 	839.83 	16.64 	196.16 	0.26 	0.00 	39.99 
16516	ÆWÄ_ÉÜ	ÆW	39.00 	28.85 	26.67 	0.00 	1005.11 	2.59 	42.13 	0.04 	0.00 	11.03 
16743	ÂÂµ­ÆW³¡¸¨	ÆW	899.00 	732.36 	347.23 	0.00 	581.91 	29.89 	768.52 	0.51 	0.00 	274.50 
16854	íB¥JÆW	ÆW	143.00 	181.90 	52.14 	0.00 	451.31 	11.75 	145.33 	0.18 	0.00 	34.20 
17560	¼B³¯ÆW	ÆW	178.00 	68.47 	15851.19 	0.00 	295.37 	11.38 	158.88 	0.18 	0.00 	30.31 
17661	»OÆW­ì¶mªÀ°Ï	ÆW	25.00 	128.39 	263.24 	0.00 	167.93 	1.22 	24.76 	0.02 	0.00 	8.33 
17761	ºaÆW¤l¤f	ÆW	76.00 	33.05 	108.78 	0.00 	406.72 	4.11 	71.76 	0.06 	0.00 	13.73 
17800	ºñÆWªÀ°Ï	ÆW	281.00 	173.97 	17.07 	40.00 	983.51 	23.61 	283.24 	0.38 	0.00 	119.85 
18494	´ä¥JÆW	ÆW	23.00 	33.46 	1403.83 	0.00 	229.28 	1.57 	24.61 	0.02 	0.00 	4.41 
18668	³q¾]ÆW	ÆW	88.00 	11.49 	1066.02 	0.00 	296.49 	3.31 	73.18 	0.05 	0.00 	8.76 
18669	³qÆW®ü³ö	ÆW	67.00 	5.65 	19.41 	501.20 	1224.98 	1.85 	62.21 	0.03 	0.00 	5.66 
19469	«áÆW	ÆW	113.00 	17.89 	19.86 	40.00 	595.46 	7.33 	110.60 	0.11 	0.00 	16.44 
19552	«nÆW	ÆW	10.00 	1.08 	15.41 	0.00 	618.00 	1.70 	10.03 	0.02 	0.00 	1.41 
19790	ªy²îÆW	ÆW	462.00 	396.66 	59.51 	0.00 	402.27 	27.74 	502.22 	0.46 	0.00 	154.43 
20161	«nÆW³¡¸¨	ÆW	592.00 	632.52 	27.20 	80.00 	823.93 	20.76 	546.65 	0.32 	0.00 	228.53 
20443	¥[Â§ÆW	ÆW	223.00 	229.63 	41.21 	0.00 	663.07 	7.55 	209.33 	0.12 	0.00 	43.04 
20465	ªü¤ÚÆW	ÆW	181.00 	115.36 	32081.92 	0.00 	327.83 	13.09 	191.06 	0.21 	0.00 	46.07 
20508	¤Bªü®RÆW	ÆW	513.00 	371.35 	273.04 	0.00 	430.61 	26.09 	463.05 	0.44 	0.00 	151.23 
20516	¤U?ÆW	ÆW	230.00 	204.70 	601.77 	0.00 	361.55 	17.48 	315.03 	0.30 	0.00 	62.87 
20927	¥Ø¥[·ÈÆWªÀ	ÆW	10.00 	15.91 	46.79 	0.00 	440.41 	0.84 	9.84 	0.01 	0.00 	2.53 
21278	­ËÆWÀs	ÆW	330.00 	304.75 	202.56 	0.00 	472.95 	16.10 	294.90 	0.26 	0.00 	80.20 
21424	Å¾ÀtÆW	ÆW	132.00 	12.89 	92.06 	0.00 	363.96 	5.53 	100.85 	0.08 	0.00 	11.56 
21932	¤jÆW	ÆW	13.00 	101.17 	208.80 	0.00 	178.57 	0.94 	21.59 	0.01 	0.00 	3.16 
22122	¶ð°¨Ã¹ÆW	ÆW	511.00 	477.37 	20264.36 	0.00 	324.23 	21.17 	638.03 	0.37 	0.00 	85.45 
22263	¤û¬DÆW	ÆW	4.00 	7.78 	211.20 	0.00 	283.81 	0.47 	3.98 	0.01 	0.00 	1.31 
22439	¤T¼dÆW	ÆW	3.00 	2.38 	13.47 	40.00 	999.78 	0.24 	3.17 	0.00 	0.00 	1.41 
22566	¤UÆW¥J	ÆW	200.00 	188.37 	24364.01 	0.00 	497.18 	7.87 	172.03 	0.12 	0.00 	32.49 
22702	¾Ø¤lÆW	ÆW	247.00 	152.91 	1576.42 	0.00 	178.64 	14.24 	218.32 	0.23 	0.00 	37.05 
22887	ÆW¥J	ÆW	10.00 	2.64 	329.26 	0.00 	422.66 	0.86 	9.35 	0.01 	0.00 	1.03 
23150	¤Kº½ÆW	ÆW	271.00 	72.73 	296.28 	0.00 	261.94 	15.28 	265.20 	0.25 	0.00 	53.67 
23154	ÆW®q	ÆW	266.00 	66.79 	34.10 	933.81 	1903.62 	18.39 	309.25 	0.29 	0.00 	61.62 
23194	¥|ÆW	ÆW	365.00 	215.10 	2890.51 	0.00 	277.44 	15.55 	316.17 	0.26 	0.00 	59.03 
23205	¤ºÆW	ÆW	74.00 	63.22 	6113.85 	0.00 	207.51 	5.98 	122.98 	0.09 	0.00 	16.65 
23356	ÆWªù¥J	ÆW	180.00 	326.26 	13.44 	594.64 	1284.83 	17.79 	213.69 	0.27 	0.00 	172.92 
23592	ÆW¥C	ÆW	274.00 	332.81 	484.22 	0.00 	296.84 	19.14 	288.14 	0.31 	0.00 	70.42 
23605	ÆW­í	ÆW	11.00 	20.73 	38.22 	0.00 	757.48 	1.09 	12.36 	0.01 	0.00 	5.29 
23985	¼Ì¾ðÆWÉÜ	ÆW	114.00 	23.75 	1847.28 	0.00 	260.12 	8.86 	110.74 	0.15 	0.00 	16.64 
24047	¤UÆW¥J	ÆW	70.00 	55.14 	398.70 	0.00 	291.12 	6.88 	88.33 	0.10 	0.00 	17.12 
24048	¤UÆWÄ_²ø	ÆW	31.00 	37.65 	26.66 	0.00 	780.93 	2.58 	43.88 	0.04 	0.00 	13.36 
24094	¤T¼dÆW	ÆW	3.00 	2.38 	13.47 	40.00 	999.78 	0.24 	3.17 	0.00 	0.00 	1.41 
24375	¤W³q¾]ÆW	ÆW	88.00 	23.97 	14.59 	40.00 	1064.42 	6.89 	80.15 	0.11 	0.00 	21.41 
24673	¦N¥j¨FÆW	ÆW	21.00 	18.42 	81.34 	0.00 	482.82 	1.04 	20.44 	0.01 	0.00 	7.61 
24776	®R¾|ÆW	ÆW	41.00 	90.43 	68.93 	0.00 	359.38 	1.57 	53.98 	0.02 	0.00 	10.02 
25014	µ­ÆWªÀ	ÆW	747.00 	639.98 	592.10 	0.00 	420.10 	30.48 	774.15 	0.54 	0.00 	195.89 
25168	¼w¾|ÆW³¡¸¨	ÆW	654.00 	1542.40 	1440.63 	0.00 	257.57 	31.30 	692.83 	0.55 	0.00 	156.98 
25826	ÆW¥J¤º	ÆW	10.00 	5.59 	489.30 	0.00 	299.33 	1.41 	9.92 	0.02 	0.00 	2.27 
25827	ÆW¥J¤º¸]	ÆW	10.00 	5.99 	831.63 	0.00 	348.13 	1.26 	9.90 	0.01 	0.00 	1.67 
25848	ÆW¥J¤º	ÆW	512.00 	3.56 	135.97 	0.00 	187.67 	1.91 	383.60 	0.14 	0.00 	3.13 
26557	¤WÆW	ÆW	463.00 	424.74 	1755.34 	0.00 	253.40 	24.85 	492.04 	0.44 	0.00 	108.97 
26805	©yÆW³¡¸¨	ÆW	146.00 	23.94 	146.60 	0.00 	266.48 	11.20 	177.32 	0.17 	0.00 	21.31 
26859	¤jÆW	ÆW	3.00 	6.40 	266.42 	0.00 	281.89 	0.34 	4.51 	0.00 	0.00 	2.31 
27180	¤û¨¤ÆW	ÆW	161.00 	54.99 	634.95 	0.00 	481.50 	3.71 	174.72 	0.06 	0.00 	8.94 
27213	¤û¨¤ÆW	ÆW	145.00 	52.86 	640.26 	0.00 	456.79 	2.98 	164.91 	0.05 	0.00 	6.75 
27778	ÆW¸Ì	ÆW	12.00 	5.88 	931.16 	0.00 	530.53 	1.40 	12.71 	0.02 	0.00 	3.58 
27861	¤jÆW	ÆW	589.00 	113.23 	26.87 	200.00 	1206.01 	33.71 	701.72 	0.62 	0.00 	89.18 
27866	¤K¨½ÆW	ÆW	261.00 	145.32 	607.26 	0.00 	223.49 	20.08 	336.26 	0.33 	0.00 	66.08 
29234	ÆW¨½	ÆW	115.00 	68.76 	5322.17 	0.00 	775.60 	7.92 	136.31 	0.12 	0.00 	26.13 
30056	¤jÆW	ÆW	241.00 	495.76 	263.42 	0.00 	401.67 	20.45 	245.13 	0.33 	0.00 	66.15 
30091	¤UÆW	ÆW	144.00 	293.73 	17053.84 	0.00 	352.20 	9.01 	156.38 	0.14 	0.00 	20.74 
30159	¤ûÀYÆW	ÆW	27.00 	189.28 	59.12 	0.00 	542.11 	1.97 	28.54 	0.03 	0.00 	11.39 
30328	¤UÆW¤l¤º	ÆW	14.00 	9.42 	5057.65 	0.00 	205.83 	1.66 	13.44 	0.02 	0.00 	2.96 
30757	ÆW¥JÀY	ÆW	23.00 	11.48 	694.55 	0.00 	334.96 	1.07 	24.13 	0.01 	0.00 	2.39 
31040	©Ô¨½¨ÈÆW³¡¸¨	ÆW	354.00 	66.41 	2013.19 	0.00 	251.51 	11.45 	368.17 	0.19 	0.00 	39.44 
31112	ªü©Ô¤ÚÆW³¡¸¨	ÆW	247.00 	87.57 	2957.25 	0.00 	212.83 	12.42 	285.61 	0.20 	0.00 	32.66 
31363	«¢©ÔÆW³¡¸¨	ÆW	233.00 	189.53 	594.45 	0.00 	346.96 	14.33 	279.83 	0.24 	0.00 	53.92 
31587	¤TÆW	ÆW	241.00 	173.64 	13.35 	0.00 	953.99 	21.23 	250.34 	0.33 	0.00 	87.66 
31724	¤jÆW	ÆW	42.00 	16.05 	226.43 	0.00 	259.60 	2.23 	35.50 	0.03 	0.00 	5.26 
31744	ÆW¤º	ÆW	30.00 	16.86 	239.48 	0.00 	292.37 	1.34 	33.61 	0.02 	0.00 	2.73 
31854	·s¤UÆW	ÆW	9.00 	6.69 	4337.68 	0.00 	609.53 	0.66 	7.74 	0.01 	0.00 	1.85 
31943	ÆW¤ºÉÜ	ÆW	13.00 	9.11 	3710.47 	0.00 	286.71 	1.15 	11.48 	0.01 	0.00 	2.01 
32020	¤jÆW	ÆW	7.00 	21.50 	109.49 	0.00 	558.51 	0.54 	5.96 	0.01 	0.00 	1.58 
32357	¥_ÆW	ÆW	285.00 	366.22 	1117.25 	0.00 	352.51 	17.17 	326.84 	0.27 	0.00 	86.36 
32358	¥_ÆW	ÆW	171.00 	163.94 	2721.60 	0.00 	391.24 	13.32 	237.49 	0.21 	0.00 	46.87 
32375	¤jÆW	ÆW	7.00 	5.46 	15.85 	89.44 	804.58 	0.49 	8.14 	0.01 	0.00 	2.00 
32554	ÆW¤l¤º	ÆW	10.00 	9.62 	148.37 	0.00 	339.36 	0.91 	12.61 	0.01 	0.00 	2.01 
32629	®R¾|ÆW³¡¸¨	ÆW	30.00 	78.26 	2301.31 	0.00 	315.70 	1.74 	75.07 	0.02 	0.00 	5.65 
32921	ÆWªÆ	ÆW	270.00 	115.71 	511.73 	0.00 	292.57 	17.32 	297.36 	0.27 	0.00 	53.69 
33072	¹F©T³¡ÆW³¡¸¨	ÆW	27.00 	22.82 	501.81 	0.00 	549.41 	1.61 	65.55 	0.02 	0.00 	10.05 
33142	§J¶øÆW³¡¸¨	ÆW	655.00 	140.65 	39.27 	0.00 	737.49 	17.57 	555.91 	0.32 	0.00 	128.92 
33309	¤jÆW	ÆW	511.00 	435.25 	19701.62 	0.00 	336.80 	21.30 	475.39 	0.38 	0.00 	91.05 
34437	ºq¬hÆW³¡¸¨	ÆW	27.00 	42.40 	79.90 	0.00 	302.30 	1.20 	26.50 	0.02 	0.00 	11.53 
34463	¤K¨½ÆW³¡¸¨	ÆW	291.00 	148.36 	607.04 	0.00 	223.35 	20.08 	350.20 	0.33 	0.00 	65.88 
34470	¤ºÆW	ÆW	741.00 	808.88 	17.48 	0.00 	976.09 	27.51 	657.68 	0.48 	0.00 	239.97 
34793	¤jÆW	ÆW	7.00 	9.93 	925.61 	0.00 	411.95 	1.00 	9.27 	0.01 	0.00 	2.25 
34918	¤jÆW	ÆW	9.00 	6.14 	122.92 	0.00 	386.29 	0.86 	11.79 	0.01 	0.00 	2.04 
35071	ÆWÄ_	ÆW	39.00 	29.41 	26.40 	0.00 	984.03 	2.57 	42.07 	0.04 	0.00 	10.87 
35293	ÆW¥J¤º	ÆW	9.00 	6.04 	365.36 	0.00 	292.43 	1.02 	9.58 	0.01 	0.00 	1.61 
35525	¥Õ¨FÆW§O¹Ö	ÆW	71.00 	22.39 	135.26 	0.00 	350.82 	6.41 	76.88 	0.09 	0.00 	19.60 
